offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
96.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,G,True,V7,Dominant seventh
100.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.25,G,True,I,Major
104.0,0.0,0.0,0.625,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,G,True,V,Major
108.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.5,G,True,I,Major
112.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,G,True,V7,Dominant seventh
116.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.25,G,True,I,Major
120.0,0.083333,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.25,0.0,0.0,G,True,V,Major
124.0,0.012987,0.0,0.064935,0.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.350649,G,True,I,Major
139.0,0.222222,0.0,0.222222,0.0,0.0,0.0,0.111111,0.111111,0.0,0.222222,0.0,0.111111,G,True,V,Major
140.5,0.090909,0.0,0.272727,0.0,0.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.454545,G,True,I,Major
143.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.2,G,True,VI,Minor
145.0,0.0,0.181818,0.0,0.0,0.272727,0.0,0.090909,0.363636,0.0,0.090909,0.0,0.0,D,True,V7,Dominant seventh
146.5,0.083333,0.0,0.5,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.083333,G,True,V,Major
149.5,0.083333,0.0,0.166667,0.0,0.0,0.083333,0.0,0.416667,0.0,0.083333,0.0,0.166667,G,True,I,Major
152.5,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,G,True,IV,Major
155.5,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.5,G,True,I,Major
157.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,G,True,V,Major
158.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.2,G,True,I,Major
161.5,0.0,0.055556,0.055556,0.0,0.055556,0.0,0.388889,0.0,0.0,0.388889,0.0,0.055556,D,True,I,Major
164.5,0.0,0.0,0.055556,0.0,0.388889,0.0,0.055556,0.055556,0.0,0.111111,0.0,0.333333,D,True,II,Minor
167.5,0.0,0.444444,0.0,0.0,0.055556,0.0,0.0,0.055556,0.0,0.388889,0.0,0.055556,D,True,V,Major
170.5,0.0,0.0,0.615385,0.0,0.076923,0.0,0.230769,0.0,0.0,0.076923,0.0,0.0,D,True,I,Major
173.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.166667,0.0,0.5,D,True,IV,Major
175.0,0.0,0.0,0.666667,0.0,0.166667,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,D,True,I,Major
176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.166667,0.0,0.5,D,True,IV,Major
178.0,0.0,0.0,0.666667,0.0,0.166667,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,D,True,I,Major
179.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.2,D,True,II,Minor
