offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
157.0,0.333333,0.0,0.055556,0.0,0.0,0.5,0.0,0.027778,0.0,0.083333,0.0,0.0,F,True,I,Major
160.0,0.333333,0.0,0.055556,0.0,0.083333,0.194444,0.0,0.25,0.0,0.0,0.083333,0.0,F,True,V,Major
163.0,0.25,0.0,0.1,0.0,0.033333,0.25,0.0,0.15,0.0,0.183333,0.016667,0.016667,F,True,I,Major
168.0,0.5,0.0,0.0,0.0,0.083333,0.166667,0.0,0.083333,0.0,0.083333,0.083333,0.0,F,True,V,Major
169.0,0.5,0.0,0.0,0.0,0.0,0.333333,0.0,0.083333,0.0,0.083333,0.0,0.0,F,True,I,Major
171.0,0.5,0.0,0.0,0.0,0.083333,0.166667,0.0,0.083333,0.0,0.083333,0.083333,0.0,F,True,V,Major
172.0,0.5,0.0,0.0,0.0,0.0,0.333333,0.0,0.083333,0.0,0.083333,0.0,0.0,F,True,I,Major
174.0,0.5,0.0,0.0,0.0,0.083333,0.166667,0.0,0.083333,0.0,0.083333,0.083333,0.0,F,True,V,Major
175.0,0.5,0.0,0.0,0.0,0.0,0.333333,0.0,0.083333,0.0,0.083333,0.0,0.0,F,True,I,Major
177.0,0.5,0.0,0.0,0.0,0.041667,0.25,0.0,0.083333,0.0,0.083333,0.041667,0.0,F,True,V,Major
179.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.0,0.666667,E,True,V,Major
180.0,0.0,0.0,0.083333,0.0,0.25,0.083333,0.0,0.0,0.083333,0.0,0.0,0.5,E,True,I,Major
181.0,0.0,0.083333,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.0,0.666667,0.0,0.0,E,True,IV,Major
182.0,0.0,0.0,0.166667,0.0,0.083333,0.0,0.0,0.166667,0.0,0.333333,0.25,0.0,F,True,II,Minor
183.0,0.25,0.0,0.083333,0.0,0.083333,0.0,0.0,0.5,0.0,0.0,0.083333,0.0,F,True,V,Major
184.0,0.25,0.0,0.083333,0.0,0.0,0.583333,0.0,0.0,0.0,0.083333,0.0,0.0,F,True,I,Major
185.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.0,0.666667,E,True,V,Major
186.0,0.0,0.0,0.083333,0.0,0.25,0.083333,0.0,0.0,0.083333,0.0,0.0,0.5,E,True,I,Major
187.0,0.0,0.083333,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.0,0.666667,0.0,0.0,E,True,IV,Major
188.0,0.0,0.0,0.166667,0.0,0.083333,0.0,0.0,0.166667,0.0,0.333333,0.25,0.0,F,True,II,Minor
189.0,0.25,0.0,0.083333,0.0,0.083333,0.0,0.0,0.5,0.0,0.0,0.083333,0.0,F,True,V,Major
190.0,0.375,0.0,0.041667,0.0,0.0,0.458333,0.0,0.041667,0.0,0.083333,0.0,0.0,F,True,I,Major
192.0,0.5,0.0,0.0,0.0,0.083333,0.166667,0.0,0.083333,0.0,0.083333,0.083333,0.0,F,True,V,Major
193.0,0.5,0.0,0.0,0.0,0.0,0.333333,0.0,0.083333,0.0,0.083333,0.0,0.0,F,True,I,Major
195.0,0.5,0.0,0.0,0.0,0.083333,0.166667,0.0,0.083333,0.0,0.083333,0.083333,0.0,F,True,V,Major
196.0,0.454545,0.0,0.0,0.0,0.0,0.409091,0.0,0.090909,0.0,0.045455,0.0,0.0,F,True,I,Major
198.0,0.276392,0.0,0.003839,0.0,0.005758,0.3762,0.0,0.046065,0.003839,0.28023,0.003839,0.003839,F,True,V,Major
